"PersonID" "Activities"
1 "WALKING_DOWNSTAIRS"
1 "WALKING_UPSTAIRS"
2 "WALKING"
3 "WALKING_DOWNSTAIRS"
4 "WALKING"
5 "WALKING_DOWNSTAIRS"
6 "WALKING_DOWNSTAIRS"
7 "WALKING_DOWNSTAIRS"
8 "SITTING"
8 "WALKING_DOWNSTAIRS"
9 "WALKING"
10 "WALKING"
11 "SITTING"
12 "WALKING"
13 "WALKING"
13 "WALKING_UPSTAIRS"
14 "SITTING"
15 "SITTING"
16 "SITTING"
17 "SITTING"
17 "STANDING"
18 "WALKING_UPSTAIRS"
19 "STANDING"
20 "WALKING_UPSTAIRS"
21 "STANDING"
22 "STANDING"
23 "STANDING"
24 "WALKING_UPSTAIRS"
25 "LAYING"
25 "STANDING"
26 "LAYING"
27 "LAYING"
28 "LAYING"
29 "LAYING"
30 "LAYING"
